Category,Subcategory,CategoryNote,Name,Web,Wikipedia,Note
Open Source Software,Office Suites,"Free and Open Source software (FOSS) that works on Linux (may also have builds for other platforms but aren’t guaranteed. Check the Wikipedia article and/or website if unsure). Many of these would be available in the official software repositories of your distribution, the links are provided for your information and research.",LibreOffice,https://www.libreoffice.org/,https://en.wikipedia.org/wiki/LibreOffice,
Open Source Software,Office Suites,,OnlyOffice,https://www.onlyoffice.com/,https://en.wikipedia.org/wiki/OnlyOffice,
Open Source Software,Web Browsers,,Mozilla Firefox,https://www.mozilla.org/en-GB/firefox/new/,https://en.wikipedia.org/wiki/Firefox,
Open Source Software,Web Browsers,,Chromium,https://www.chromium.org/Home,https://en.wikipedia.org/wiki/Chromium_(web_browser),
Open Source Software,Web Browsers,,Midori,https://astian.org/en/midori-browser/,https://en.wikipedia.org/wiki/Midori_(web_browser),
Open Source Software,Web Browsers,,Falkon,https://www.falkon.org/,https://en.wikipedia.org/wiki/Falkon,
Open Source Software,Web Browsers,,Gnome Web,https://wiki.gnome.org/Apps/Web,https://en.wikipedia.org/wiki/GNOME_Web,
Open Source Software,Email Clients,,Thunderbird,https://www.thunderbird.net/en-US/,https://en.wikipedia.org/wiki/Mozilla_Thunderbird,
Open Source Software,Email Clients,,Geary,https://wiki.gnome.org/Apps/Geary,https://en.wikipedia.org/wiki/Geary_(e-mail_client),
Open Source Software,Email Clients,,Evolution,https://wiki.gnome.org/Apps/Evolution,https://en.wikipedia.org/wiki/GNOME_Evolution,
Open Source Software,Chat Clients,,Pidgin,https://pidgin.im/,https://en.wikipedia.org/wiki/Pidgin_(software),Connects to various protocols
Open Source Software,Chat Clients,,Signal,https://signal.org/,https://en.wikipedia.org/wiki/Signal_(software),
Open Source Software,Chat Clients,,Telegram,https://en.wikipedia.org/wiki/Telegram_(software),https://en.wikipedia.org/wiki/Telegram_(software),Server side isn’t Open Source
Open Source Software,Chat Clients,,Wire,https://wire.com/en/,https://en.wikipedia.org/wiki/Wire_(software),Server side isn’t Open Source
Open Source Software,Chat Clients,,Mattermost,https://mattermost.com,https://en.wikipedia.org/wiki/Mattermost,Project chat designed for technical teams
Open Source Software,Chat Clients,,Matrix,https://matrix.org/,https://en.wikipedia.org/wiki/Matrix_(protocol),
Open Source Software,Video Calling,,Jitsi,https://jitsi.org/,https://en.wikipedia.org/wiki/Jitsi,
Open Source Software,Video Calling,,VDO Ninja,https://vdo.ninja/,,
Open Source Software,Video Calling,,Nextcloud Talk,https://nextcloud.com/talk/,,
Open Source Software,Photo Editors,,digiKam,https://www.digikam.org/,https://en.wikipedia.org/wiki/DigiKam,
Open Source Software,Photo Editors,,darktable,https://www.darktable.org/,https://en.wikipedia.org/wiki/Darktable,
Open Source Software,Image Editing ,,GIMP,https://www.gimp.org/,https://en.wikipedia.org/wiki/GIMP,
Open Source Software,Vector Editing,,Inkscape,https://inkscape.org/,https://en.wikipedia.org/wiki/Inkscape,
Open Source Software,Drawing and Painting,,Krita,https://krita.org/en/,https://en.wikipedia.org/wiki/Krita,
Open Source Software,3D Graphics,,Blender,https://www.blender.org/,https://en.wikipedia.org/wiki/Blender_(software),
Open Source Software,Media Players,,VLC,https://www.videolan.org/vlc/,https://en.wikipedia.org/wiki/VLC_media_player,
Open Source Software,Media Players,,mpv,https://mpv.io/,https://en.wikipedia.org/wiki/Mpv_(media_player),
Open Source Software,Media Organisers,,Elisa,https://invent.kde.org/multimedia/elisa,,
Open Source Software,Media Organisers,,Clementine,https://www.clementine-player.org/,https://en.wikipedia.org/wiki/Clementine_(software),
Open Source Software,Media Organisers,,Rhythmbox,https://wiki.gnome.org/Apps/Rhythmbox,https://en.wikipedia.org/wiki/Rhythmbox,
Open Source Software,Media Organisers,,Audacious,https://audacious-media-player.org/,https://en.wikipedia.org/wiki/Audacious_(software),
Open Source Software,Media Organisers,,Banshee,http://banshee.fm/,https://en.wikipedia.org/wiki/Banshee_(media_player),Not updated in a while but still works
Open Source Software,Audio Recording and Editing,,Audacity,https://www.audacityteam.org/,https://en.wikipedia.org/wiki/Audacity_(audio_editor),
Open Source Software,Audio Recording and Editing,,Ardour,https://ardour.org/,https://en.wikipedia.org/wiki/Ardour_(software),For advanced use
Open Source Software,Audio Recording and Editing,,Gnome Sound Recorder,https://wiki.gnome.org/Apps/SoundRecorder,,"Basic, recording only"
Open Source Software,Video Editing,,Kdelive,https://kdenlive.org/en/,https://en.wikipedia.org/wiki/Kdenlive,
Open Source Software,Video Editing,,OpenShot,https://www.openshot.org/,https://en.wikipedia.org/wiki/OpenShot,
Open Source Software,DJ Mixing and Playback,,Mixxx,https://mixxx.org/,https://en.wikipedia.org/wiki/Mixxx,
Open Source Software,Audio Streaming,,spotify-qt,https://github.com/kraxarn/spotify-qt,,Open source unofficial Spotify client
Open Source Software,"Video Streaming, Recording and Broadcasting",,OBS Studio,https://obsproject.com/,https://en.wikipedia.org/wiki/OBS_Studio,
Open Source Software,"Video Streaming, Recording and Broadcasting",,Downcast,https://owncast.online/,,
Open Source Software,Torrent Clients,,Transmission,https://transmissionbt.com/,https://en.wikipedia.org/wiki/Transmission_(BitTorrent_client),
Open Source Software,Torrent Clients,,qBittorrent,https://www.qbittorrent.org/,https://en.wikipedia.org/wiki/QBittorrent,
Open Source Software,Torrent Clients,,Deluge,https://deluge-torrent.org,https://en.wikipedia.org/wiki/Deluge_(software),
Open Source Software,Developer Tools,,VS Codium,https://vscodium.com/,,
Open Source Software,Developer Tools,,IntelliJ Idea Community Edition,https://www.jetbrains.com/idea/download/,https://en.wikipedia.org/wiki/IntelliJ_IDEA,
Open Source Software,Developer Tools,,KDevelop,https://kdevelop.org/,https://en.wikipedia.org/wiki/KDevelop,
Open Source Software,Developer Tools,,JupyterLab,https://jupyter.org/,https://en.wikipedia.org/wiki/Project_Jupyter,
Open Source Software,Developer Tools,,Vim,https://www.vim.org/,https://en.wikipedia.org/wiki/Vim_(text_editor),
Open Source Software,Developer Tools,,Emacs,https://www.gnu.org/software/emacs/,https://en.wikipedia.org/wiki/Emacs,
Open Source Software,Developer Tools,,Godot,https://godotengine.org/,https://en.wikipedia.org/wiki/Godot_(game_engine),
